Week,Year,Province,Disease,Reported_Cases,Latitude,Longitude
1,2024,Lusaka,Cholera,25,-15.3875,28.3228
2,2024,Lusaka,Cholera,22,-15.3875,28.3228
3,2024,Lusaka,Cholera,26,-15.3875,28.3228
4,2024,Lusaka,Cholera,94,-15.3875,28.3228
5,2024,Lusaka,Cholera,20,-15.3875,28.3228
6,2024,Lusaka,Cholera,21,-15.3875,28.3228
7,2024,Lusaka,Cholera,25,-15.3875,28.3228
8,2024,Lusaka,Cholera,84,-15.3875,28.3228
9,2024,Lusaka,Cholera,24,-15.3875,28.3228
10,2024,Lusaka,Cholera,22,-15.3875,28.3228
11,2024,Lusaka,Cholera,27,-15.3875,28.3228
12,2024,Lusaka,Cholera,26,-15.3875,28.3228
1,2024,Lusaka,Malaria,150,-15.3875,28.3228
2,2024,Lusaka,Malaria,166,-15.3875,28.3228
3,2024,Lusaka,Malaria,157,-15.3875,28.3228
4,2024,Lusaka,Malaria,137,-15.3875,28.3228
5,2024,Lusaka,Malaria,155,-15.3875,28.3228
6,2024,Lusaka,Malaria,135,-15.3875,28.3228
7,2024,Lusaka,Malaria,163,-15.3875,28.3228
8,2024,Lusaka,Malaria,149,-15.3875,28.3228
9,2024,Lusaka,Malaria,147,-15.3875,28.3228
10,2024,Lusaka,Malaria,139,-15.3875,28.3228
11,2024,Lusaka,Malaria,168,-15.3875,28.3228
12,2024,Lusaka,Malaria,147,-15.3875,28.3228
1,2024,Lusaka,Influenza,47,-15.3875,28.3228
2,2024,Lusaka,Influenza,48,-15.3875,28.3228
3,2024,Lusaka,Influenza,52,-15.3875,28.3228
4,2024,Lusaka,Influenza,51,-15.3875,28.3228
5,2024,Lusaka,Influenza,52,-15.3875,28.3228
6,2024,Lusaka,Influenza,52,-15.3875,28.3228
7,2024,Lusaka,Influenza,60,-15.3875,28.3228
8,2024,Lusaka,Influenza,47,-15.3875,28.3228
9,2024,Lusaka,Influenza,47,-15.3875,28.3228
10,2024,Lusaka,Influenza,45,-15.3875,28.3228
11,2024,Lusaka,Influenza,53,-15.3875,28.3228
12,2024,Lusaka,Influenza,55,-15.3875,28.3228
1,2024,Copperbelt,Cholera,11,-12.7898,28.2937
2,2024,Copperbelt,Cholera,10,-12.7898,28.2937
3,2024,Copperbelt,Cholera,11,-12.7898,28.2937
4,2024,Copperbelt,Cholera,12,-12.7898,28.2937
5,2024,Copperbelt,Cholera,12,-12.7898,28.2937
6,2024,Copperbelt,Cholera,12,-12.7898,28.2937
7,2024,Copperbelt,Cholera,11,-12.7898,28.2937
8,2024,Copperbelt,Cholera,12,-12.7898,28.2937
9,2024,Copperbelt,Cholera,12,-12.7898,28.2937
10,2024,Copperbelt,Cholera,12,-12.7898,28.2937
11,2024,Copperbelt,Cholera,13,-12.7898,28.2937
12,2024,Copperbelt,Cholera,12,-12.7898,28.2937
1,2024,Copperbelt,Malaria,170,-12.7898,28.2937
2,2024,Copperbelt,Malaria,161,-12.7898,28.2937
3,2024,Copperbelt,Malaria,164,-12.7898,28.2937
4,2024,Copperbelt,Malaria,170,-12.7898,28.2937
5,2024,Copperbelt,Malaria,136,-12.7898,28.2937
6,2024,Copperbelt,Malaria,154,-12.7898,28.2937
7,2024,Copperbelt,Malaria,152,-12.7898,28.2937
8,2024,Copperbelt,Malaria,149,-12.7898,28.2937
9,2024,Copperbelt,Malaria,155,-12.7898,28.2937
10,2024,Copperbelt,Malaria,183,-12.7898,28.2937
11,2024,Copperbelt,Malaria,146,-12.7898,28.2937
12,2024,Copperbelt,Malaria,175,-12.7898,28.2937
1,2024,Copperbelt,Influenza,29,-12.7898,28.2937
2,2024,Copperbelt,Influenza,33,-12.7898,28.2937
3,2024,Copperbelt,Influenza,35,-12.7898,28.2937
4,2024,Copperbelt,Influenza,37,-12.7898,28.2937
5,2024,Copperbelt,Influenza,37,-12.7898,28.2937
6,2024,Copperbelt,Influenza,92,-12.7898,28.2937
7,2024,Copperbelt,Influenza,33,-12.7898,28.2937
8,2024,Copperbelt,Influenza,33,-12.7898,28.2937
9,2024,Copperbelt,Influenza,38,-12.7898,28.2937
10,2024,Copperbelt,Influenza,34,-12.7898,28.2937
11,2024,Copperbelt,Influenza,30,-12.7898,28.2937
12,2024,Copperbelt,Influenza,31,-12.7898,28.2937
1,2024,Eastern,Cholera,7,-13.3333,32.6667
2,2024,Eastern,Cholera,8,-13.3333,32.6667
3,2024,Eastern,Cholera,8,-13.3333,32.6667
4,2024,Eastern,Cholera,8,-13.3333,32.6667
5,2024,Eastern,Cholera,7,-13.3333,32.6667
6,2024,Eastern,Cholera,8,-13.3333,32.6667
7,2024,Eastern,Cholera,8,-13.3333,32.6667
8,2024,Eastern,Cholera,7,-13.3333,32.6667
9,2024,Eastern,Cholera,8,-13.3333,32.6667
10,2024,Eastern,Cholera,7,-13.3333,32.6667
11,2024,Eastern,Cholera,7,-13.3333,32.6667
12,2024,Eastern,Cholera,7,-13.3333,32.6667
1,2024,Eastern,Malaria,154,-13.3333,32.6667
2,2024,Eastern,Malaria,183,-13.3333,32.6667
3,2024,Eastern,Malaria,166,-13.3333,32.6667
4,2024,Eastern,Malaria,175,-13.3333,32.6667
5,2024,Eastern,Malaria,183,-13.3333,32.6667
6,2024,Eastern,Malaria,182,-13.3333,32.6667
7,2024,Eastern,Malaria,186,-13.3333,32.6667
8,2024,Eastern,Malaria,173,-13.3333,32.6667
9,2024,Eastern,Malaria,167,-13.3333,32.6667
10,2024,Eastern,Malaria,311,-13.3333,32.6667
11,2024,Eastern,Malaria,145,-13.3333,32.6667
12,2024,Eastern,Malaria,149,-13.3333,32.6667
1,2024,Eastern,Influenza,21,-13.3333,32.6667
2,2024,Eastern,Influenza,22,-13.3333,32.6667
3,2024,Eastern,Influenza,25,-13.3333,32.6667
4,2024,Eastern,Influenza,22,-13.3333,32.6667
5,2024,Eastern,Influenza,24,-13.3333,32.6667
6,2024,Eastern,Influenza,28,-13.3333,32.6667
7,2024,Eastern,Influenza,24,-13.3333,32.6667
8,2024,Eastern,Influenza,26,-13.3333,32.6667
9,2024,Eastern,Influenza,22,-13.3333,32.6667
10,2024,Eastern,Influenza,24,-13.3333,32.6667
11,2024,Eastern,Influenza,22,-13.3333,32.6667
12,2024,Eastern,Influenza,24,-13.3333,32.6667
1,2024,Northern,Cholera,5,-9.0833,31.3333
2,2024,Northern,Cholera,4,-9.0833,31.3333
3,2024,Northern,Cholera,5,-9.0833,31.3333
4,2024,Northern,Cholera,5,-9.0833,31.3333
5,2024,Northern,Cholera,4,-9.0833,31.3333
6,2024,Northern,Cholera,4,-9.0833,31.3333
7,2024,Northern,Cholera,5,-9.0833,31.3333
8,2024,Northern,Cholera,4,-9.0833,31.3333
9,2024,Northern,Cholera,5,-9.0833,31.3333
10,2024,Northern,Cholera,5,-9.0833,31.3333
11,2024,Northern,Cholera,5,-9.0833,31.3333
12,2024,Northern,Cholera,4,-9.0833,31.3333
1,2024,Northern,Malaria,170,-9.0833,31.3333
2,2024,Northern,Malaria,193,-9.0833,31.3333
3,2024,Northern,Malaria,194,-9.0833,31.3333
4,2024,Northern,Malaria,215,-9.0833,31.3333
5,2024,Northern,Malaria,205,-9.0833,31.3333
6,2024,Northern,Malaria,196,-9.0833,31.3333
7,2024,Northern,Malaria,217,-9.0833,31.3333
8,2024,Northern,Malaria,167,-9.0833,31.3333
9,2024,Northern,Malaria,177,-9.0833,31.3333
10,2024,Northern,Malaria,172,-9.0833,31.3333
11,2024,Northern,Malaria,182,-9.0833,31.3333
12,2024,Northern,Malaria,163,-9.0833,31.3333
1,2024,Northern,Influenza,19,-9.0833,31.3333
2,2024,Northern,Influenza,17,-9.0833,31.3333
3,2024,Northern,Influenza,15,-9.0833,31.3333
4,2024,Northern,Influenza,16,-9.0833,31.3333
5,2024,Northern,Influenza,18,-9.0833,31.3333
6,2024,Northern,Influenza,19,-9.0833,31.3333
7,2024,Northern,Influenza,21,-9.0833,31.3333
8,2024,Northern,Influenza,23,-9.0833,31.3333
9,2024,Northern,Influenza,18,-9.0833,31.3333
10,2024,Northern,Influenza,16,-9.0833,31.3333
11,2024,Northern,Influenza,14,-9.0833,31.3333
12,2024,Northern,Influenza,18,-9.0833,31.3333
1,2024,Southern,Cholera,6,-16.5,26.5
2,2024,Southern,Cholera,6,-16.5,26.5
3,2024,Southern,Cholera,6,-16.5,26.5
4,2024,Southern,Cholera,6,-16.5,26.5
5,2024,Southern,Cholera,7,-16.5,26.5
6,2024,Southern,Cholera,7,-16.5,26.5
7,2024,Southern,Cholera,6,-16.5,26.5
8,2024,Southern,Cholera,6,-16.5,26.5
9,2024,Southern,Cholera,5,-16.5,26.5
10,2024,Southern,Cholera,6,-16.5,26.5
11,2024,Southern,Cholera,6,-16.5,26.5
12,2024,Southern,Cholera,8,-16.5,26.5
1,2024,Southern,Malaria,182,-16.5,26.5
2,2024,Southern,Malaria,197,-16.5,26.5
3,2024,Southern,Malaria,171,-16.5,26.5
4,2024,Southern,Malaria,158,-16.5,26.5
5,2024,Southern,Malaria,162,-16.5,26.5
6,2024,Southern,Malaria,166,-16.5,26.5
7,2024,Southern,Malaria,218,-16.5,26.5
8,2024,Southern,Malaria,165,-16.5,26.5
9,2024,Southern,Malaria,195,-16.5,26.5
10,2024,Southern,Malaria,163,-16.5,26.5
11,2024,Southern,Malaria,196,-16.5,26.5
12,2024,Southern,Malaria,186,-16.5,26.5
1,2024,Southern,Influenza,19,-16.5,26.5
2,2024,Southern,Influenza,19,-16.5,26.5
3,2024,Southern,Influenza,18,-16.5,26.5
4,2024,Southern,Influenza,20,-16.5,26.5
5,2024,Southern,Influenza,19,-16.5,26.5
6,2024,Southern,Influenza,17,-16.5,26.5
7,2024,Southern,Influenza,17,-16.5,26.5
8,2024,Southern,Influenza,20,-16.5,26.5
9,2024,Southern,Influenza,23,-16.5,26.5
10,2024,Southern,Influenza,20,-16.5,26.5
11,2024,Southern,Influenza,19,-16.5,26.5
12,2024,Southern,Influenza,20,-16.5,26.5
